id,experience,start,end,grad_year,gender,ug_school,ug_rank,ug_degree,ug_grad_year,mba_school,mba_rank,industry_category,Ethnicity_category,jobtype,jobtitle,jobSalary,job_title_clean,joinCol
3.0,2,2013,2015,1999.0,male,university of pennsylvania - the wharton school,3.0,science,,harvard business school,0.0,computers,in,management,ceo and vp product,148269.67596906162,ceo  vp product,1
3.0,3,2012,2013,1999.0,male,university of pennsylvania - the wharton school,3.0,science,,harvard business school,0.0,computers,in,other,corporate product strategy,115149.31285296852,corporate product strategy,1
3.0,5,2000,2008,1999.0,male,university of pennsylvania - the wharton school,3.0,science,,harvard business school,0.0,computers,in,management,founder ceo cto vp bus dev,137540.97311278078,founder ceo cto vp bus dev,1
15.0,9,2001,2008,1992.0,male,,,,,university of pennsylvania - the wharton school,3.0,computers,eu,management,executive vice president network division,145838.14567207525,executive vice president network division,1
15.0,11,1994,2000,1992.0,male,,,,,university of pennsylvania - the wharton school,3.0,entertainment,eu,management,vice president online,133510.0224928339,vice president online,1
7362.0,5,2006,2008,2005.0,male,"university of california, berkeley",3.0,arts,1998.0,usc marshall school of business,1000.0,computers,eu,management,vice president online,133510.0224928339,vice president online,1
18.0,3,2009,2014,2006.0,male,emlyon business school,1000.0,business,2004.0,university of economics in prague,1000.0,computers,eu,other,senior team lead creative lab,98874.42323846194,senior team lead creative lab,1
18.0,4,2008,2009,2006.0,male,emlyon business school,1000.0,business,2004.0,university of economics in prague,1000.0,computers,eu,other,head of marketing france,83098.39180687898,head  marketing france,1
18.0,5,2006,2009,2006.0,male,emlyon business school,1000.0,business,2004.0,university of economics in prague,1000.0,computers,eu,management,product marketing manager france,117027.6052697126,product marketing manager france,1
20.0,2,2010,2016,1989.0,male,,,,,university of pennsylvania - the wharton school,3.0,retail,eu,other,past chairman and board member,98663.55076112796,past chairman  board member,1
20.0,1,1997,0,1989.0,male,,,,,university of pennsylvania - the wharton school,3.0,finance,eu,management,co owner and co president,109544.85771840336,co owner  co president,1
